,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground,Start Date
1,4,0,21,0,5.25,3,2,v Australia,Gros Islet,27-Mar-12
2,4,0,33,0,8.25,2,2,v Australia,Bridgetown,30-Mar-12
3,4,0,28,0,7,3,2,v England,Nottingham,24-Jun-12
4,4,0,34,3,8.5,3,2,v New Zealand,Lauderhill,30-Jun-12
5,4,0,12,4,3,3,2,v New Zealand,Lauderhill,01-Jul-12
6,2,0,16,0,8,3,2,v Australia,Colombo (RPS),22-Sep-12
7,4,0,21,1,5.25,4,1,v Ireland,Colombo (RPS),24-Sep-12
8,4,0,33,0,8.25,3,2,v England,Pallekele,27-Sep-12
9,4,0,23,0,5.75,3,2,v Sri Lanka,Pallekele,29-Sep-12
10,4,0,20,3,5,3,2,v New Zealand,Pallekele,01-Oct-12
11,3,0,17,2,5.66,4,2,v Australia,Colombo (RPS),05-Oct-12
12,3.4,0,9,3,2.45,5,2,v Sri Lanka,Colombo (RPS),07-Oct-12
13,3,0,27,0,9,5,2,v Bangladesh,Mirpur,10-Dec-12
14,4,0,19,2,4.75,3,2,v Australia,Brisbane,13-Feb-13
15,4,0,17,2,4.25,4,1,v Zimbabwe,North Sound,02-Mar-13
16,4,0,22,0,5.5,4,2,v Zimbabwe,North Sound,03-Mar-13
17,4,0,24,1,6,3,2,v Pakistan,Kingstown,27-Jul-13
18,4,0,26,3,6.5,3,1,v Pakistan,Kingstown,28-Jul-13
19,4,0,46,0,11.5,3,1,v New Zealand,Auckland,11-Jan-14
20,4,0,18,2,4.5,4,2,v New Zealand,Wellington,15-Jan-14
21,4,0,16,1,4,3,2,v Ireland,Kingston,19-Feb-14
22,4,0,12,1,3,3,2,v Ireland,Kingston,21-Feb-14
23,2,0,8,1,4,3,2,v England,Bridgetown,09-Mar-14
24,4,0,34,1,8.5,3,1,v England,Bridgetown,13-Mar-14
25,4,0,20,0,5,3,2,v India,Mirpur,23-Mar-14
26,4,0,17,1,4.25,5,2,v Bangladesh,Mirpur,25-Mar-14
27,4,1,19,2,4.75,4,1,v Australia,Mirpur,28-Mar-14
28,4,0,16,3,4,5,2,v Pakistan,Mirpur,01-Apr-14
29,4,0,20,0,5,3,1,v Sri Lanka,Mirpur,03-Apr-14
30,3,0,19,0,6.33,3,2,v New Zealand,Roseau,05-Jul-14
31,4,0,19,2,4.75,3,2,v New Zealand,Roseau,06-Jul-14
32,DNB,-,-,-,-,-,1,v Bangladesh,Basseterre,27-Aug-14
33,4,0,20,1,5,4,1,v Sri Lanka,Pallekele,09-Nov-15
34,4,0,24,1,6,1,2,v Sri Lanka,Colombo (RPS),11-Nov-15
35,3,0,50,0,16.66,4,2,v India,Lauderhill,27-Aug-16
36,DNB,-,-,-,-,-,2,v India,Lauderhill,28-Aug-16
37,3,0,21,0,7,3,2,v Pakistan,Dubai (DICS),23-Sep-16
38,4,0,36,0,9,3,1,v Pakistan,Dubai (DICS),24-Sep-16
39,4,0,21,0,5.25,4,2,v Pakistan,Abu Dhabi,27-Sep-16
40,4,0,22,0,5.5,3,2,v Pakistan,Bridgetown,26-Mar-17
41,4,0,22,3,5.5,4,1,v Pakistan,Port of Spain,30-Mar-17
42,3,0,34,1,11.33,5,1,v Pakistan,Port of Spain,01-Apr-17
43,4,0,19,0,4.75,4,2,v Pakistan,Port of Spain,02-Apr-17
44,4,0,11,3,2.75,4,1,v Afghanistan,Basseterre,02-Jun-17
45,3,0,24,1,8,4,2,v Afghanistan,Basseterre,03-Jun-17
46,4,0,27,0,6.75,6,1,v Afghanistan,Basseterre,05-Jun-17
47,3,0,22,0,7.33,5,1,v India,Kingston,09-Jul-17
48,4,0,15,2,3.75,4,2,v England,Chester-le-Street,16-Sep-17
49,4,0,14,2,3.5,3,2,v India,Lauderhill,03-Aug-19
50,4,0,28,0,7,3,1,v India,Lauderhill,04-Aug-19
51,4,0,29,0,7.25,4,2,v India,Providence,06-Aug-19
